files,train,lr,knn,dt
773_fri_c0_250_25.csv,True,81.6,70.0,72.4
933_fri_c4_250_25.csv,True,57.2,66.0,79.6
40900_Satellite.csv,True,99.41176470588235,99.29411764705883,98.94117647058825
1025_analcatdata_germangss.csv,True,91.0,88.75,91.0
934_socmob.csv,True,94.28710644677662,93.94077961019491,92.64692653673163
1535_volcanoes-b5.csv,True,96.4761254240212,95.99555467290938,94.00333198930393
820_chatfield_4.csv,False,90.25362318840578,86.86594202898551,86.82971014492753
1121_badges2.csv,False,100.0,87.73563218390805,100.0
889_fri_c0_100_25.csv,True,73.0,64.0,66.0
40496_LED-display-domain-7digit.csv,True,73.6,69.6,70.6
819_delta_elevators.csv,True,88.11583781777696,86.80263588085076,82.47366770051869
859_analcatdata_gviolence.csv,True,98.75,93.21428571428571,96.07142857142858
40691_wine-quality-red.csv,True,59.724056603773576,58.28262578616352,65.04088050314465
720_abalone.csv,True,78.5016006333689,77.44759216550204,72.34839879292738
995_mfeat-zernike.csv,True,99.5,99.35,98.1
829_fri_c1_100_5.csv,True,65.0,78.0,78.0
60_waveform-5000.csv,True,86.58,76.34,74.34
1496_ringnorm.csv,True,75.97297297297297,69.22972972972973,87.59459459459461
874_rabe_131.csv,True,94.0,86.0,98.0
869_fri_c2_500_10.csv,True,71.4,76.8,88.8
1066_kc1-binary.csv,True,77.19047619047619,75.14285714285714,73.85714285714285
965_zoo.csv,True,100.0,100.0,100.0
811_rmftsa_ctoarrivals.csv,True,94.35897435897436,94.67236467236468,96.21082621082623
1501_semeion.csv,True,91.65172955974843,90.52044025157234,77.7130503144654
1552_autoUniv-au7-1100.csv,True,34.0,29.090909090909086,32.54545454545455
950_arsenic-female-lung.csv,True,98.92857142857142,98.56818181818183,98.21103896103895
1011_ecoli.csv,False,96.11408199643493,96.1319073083779,92.23707664884135
1026_grub-damage.csv,True,79.95833333333334,80.08333333333333,64.04166666666666
841_stock.csv,False,84.10526315789473,95.05263157894737,95.36842105263159
911_fri_c2_250_5.csv,True,68.8,84.4,88.0
40700_cars1.csv,True,74.47435897435898,74.19871794871794,81.87179487179488
1541_volcanoes-d4.csv,True,94.22230973581279,94.04896607884233,89.77364535636573
